Year,COMMENT_OBS,REF_AREA,Value
2014,Nairobi City County,KE_NBO,44.0
2016,Nairobi City County,KE_NBO,56.6
2017,Nairobi City County,KE_NBO,53.6
2018,Nairobi City County,KE_NBO,57.4
2019,Nairobi City County,KE_NBO,75.2
2020,Nairobi City County,KE_NBO,75.2
2021,Nairobi City County,KE_NBO,76.7
2022,Nairobi City County,KE_NBO,74.3
2023,Nairobi City County,KE_NBO,86.0
2024,Nairobi City County,KE_NBO,44.7
2017,Mombasa County,KE_MBA,25.1
2018,Mombasa County,KE_MBA,56.0
2019,Mombasa County,KE_MBA,46.1
2020,Mombasa County,KE_MBA,46.0
2021,Mombasa County,KE_MBA,56.5
2022,Mombasa County,KE_MBA,65.0
2023,Mombasa County,KE_MBA,58.3
2024,Mombasa County,KE_MBA,62.1
2017,Kisumu County,KE_KIS,30.0
2018,Kisumu County,KE_KIS,30.0
2019,Kisumu County,KE_KIS,30.0
2020,Kisumu County,KE_KIS,30.0
2021,Kisumu County,KE_KIS,30.0
2022,Kisumu County,KE_KIS,30.1
2023,Kisumu County,KE_KIS,30.0
2024,Kisumu County,KE_KIS,29.3
2022,Nakuru Coutny,KE_NUU,60.0
2023,Nakuru Coutny,KE_NUU,60.0
2024,Nakuru Coutny,KE_NUU,59.3
